1499160406, JL04002P, estimote: n2-dog, 
1499160407, JL04002P, estimote: n2-dog, 
1499160408, JL04002P, estimote: n2-dog, 
1499160408, JL04002P, estimote: n1-dog, 
1499160409, JL04002P, estimote: n2-dog, 
1499160409, JL04002P, estimote: n1-dog, 
1499160410, JL04002P, estimote: n2-dog, 
1499160410, JL04002P, estimote: n2-shoe, 
1499160410, JL04002P, estimote: n1-dog, 
1499160411, JL04002P, estimote: n2-dog, 
1499160411, JL04002P, estimote: n2-shoe, 
1499160411, JL04002P, estimote: n1-dog, 
1499160412, JL04002P, estimote: n2-dog, 
1499160412, JL04002P, estimote: n1-dog, 
1499160413, JL04002P, estimote: n2-dog, 
1499160413, JL04002P, estimote: n3-car, 
1499160413, JL04002P, estimote: n1-dog, 
1499160413, JL04002P, estimote: n3-fridge, 
1499160414, JL04002P, estimote: n2-dog, 
1499160414, JL04002P, estimote: n3-car, 
1499160414, JL04002P, estimote: n1-dog, 
1499160414, JL04002P, estimote: n3-fridge, 
1499160415, JL04002P, estimote: n2-dog, 
1499160415, JL04002P, estimote: n3-fridge, 
1499160416, JL04002P, estimote: n4-bag, 
1499160416, JL04002P, estimote: n1-car, 
1499160416, JL04002P, estimote: n3-fridge, 
1499160417, JL04002P, estimote: n4-bag, 
1499160417, JL04002P, estimote: n1-car, 
1499160417, JL04002P, estimote: n5-generic, 
1499160417, JL04002P, estimote: n4-dog, 
1499160418, JL04002P, estimote: n4-bag, 
1499160418, JL04002P, estimote: n1-car, 
1499160418, JL04002P, estimote: n5-generic, 
1499160418, JL04002P, estimote: n4-dog, 
1499160419, JL04002P, estimote: n1-car, 
1499160419, JL04002P, estimote: n5-generic, 
1499160420, JL04002P, estimote: n1-car, 
1499160420, JL04002P, estimote: n5-generic, 
1499160421, JL04002P, estimote: n1-car, 
1499160421, JL04002P, estimote: n5-generic, 
1499160421, JL04002P, estimote: n2-dog, 
1499160421, JL04002P, estimote: n2-car, 
1499160422, JL04002P, estimote: n2-dog, 
1499160422, JL04002P, estimote: n2-car, 
1499160422, JL04002P, estimote: n5-generic, 
1499160423, JL04002P, estimote: n2-dog, 
1499160423, JL04002P, estimote: n2-car, 
1499160423, JL04002P, estimote: n5-generic, 
